epoch,brotli_size,soup_size,higher_entropy
28801,484676,8192,0.135668
28865,484969,8192,0.131667
28929,484991,8192,0.132698
28993,484824,8192,0.141574
29057,484013,8192,0.147379
29121,484271,8192,0.147500
29185,483679,8192,0.144698
29249,482830,8192,0.159059
29313,482666,8192,0.165797
29377,482519,8192,0.165782
29441,482347,8192,0.167968
29505,481400,8192,0.181925
29569,481629,8192,0.186688
29633,482623,8192,0.180028
29697,482829,8192,0.178614
29761,483026,8192,0.176556
29825,484103,8192,0.163653
29889,483356,8192,0.176257
29953,484240,8192,0.167725
30017,484029,8192,0.167924
30081,483214,8192,0.177078
30145,483550,8192,0.172922
30209,483392,8192,0.173150
30273,484564,8192,0.151059
30337,484372,8192,0.141368
30401,483540,8192,0.152373
30465,483465,8192,0.145172
30529,483610,8192,0.150164
30593,482650,8192,0.153032
30657,482686,8192,0.151322
30721,482990,8192,0.143765
30785,482853,8192,0.138255
30849,482293,8192,0.143101
30913,483166,8192,0.134418
30977,483712,8192,0.128734
31041,484105,8192,0.127252
31105,484790,8192,0.117595
31169,484975,8192,0.122218
31233,484475,8192,0.126647
31297,483759,8192,0.140075
31361,483497,8192,0.136186
31425,483957,8192,0.137495
31489,483807,8192,0.139482
31553,482913,8192,0.149964
31617,483299,8192,0.143305
31681,483700,8192,0.136204
31745,483769,8192,0.131414
31809,482978,8192,0.136562
31873,483567,8192,0.131542
31937,483514,8192,0.138476
32001,483439,8192,0.135427
32065,483290,8192,0.123823
32129,482959,8192,0.131221
32193,482864,8192,0.128435
32257,482642,8192,0.129291
32321,481755,8192,0.139661
32385,481691,8192,0.139176
32449,482280,8192,0.133086
32513,482591,8192,0.133516
32577,482374,8192,0.133489
32641,481777,8192,0.139083
32705,481823,8192,0.133097
32769,482175,8192,0.126094
32833,482599,8192,0.126604
32897,483169,8192,0.119237
32961,482729,8192,0.122041
33025,483147,8192,0.119092
33089,482962,8192,0.127615
33153,483612,8192,0.120314
33217,484395,8192,0.113726
33281,485060,8192,0.110357
33345,484245,8192,0.116504
33409,484112,8192,0.121677
33473,483827,8192,0.127985
33537,484444,8192,0.117906
33601,483425,8192,0.126824
33665,482349,8192,0.143081
33729,482568,8192,0.139065
33793,483279,8192,0.125358
33857,482410,8192,0.132288
33921,483093,8192,0.123458
33985,481805,8192,0.141637
34049,481908,8192,0.137869
34113,482247,8192,0.141315
34177,482084,8192,0.143425
34241,482511,8192,0.138598
34305,482305,8192,0.138617
34369,482886,8192,0.130632
34433,483586,8192,0.117463
34497,483702,8192,0.124168
34561,482896,8192,0.135072
34625,482808,8192,0.138910
34689,482857,8192,0.135266
34753,482328,8192,0.142620
34817,483022,8192,0.136501
34881,483485,8192,0.134152
34945,483563,8192,0.126396
35009,484068,8192,0.117115
35073,483277,8192,0.116574
35137,482242,8192,0.129709
35201,482419,8192,0.124770
35265,482528,8192,0.126541
35329,482699,8192,0.123824
35393,482992,8192,0.121403
35457,483875,8192,0.107024
35521,484404,8192,0.104723
35585,484406,8192,0.107392
35649,484116,8192,0.114754
35713,484443,8192,0.111076
35777,484326,8192,0.111188
35841,484113,8192,0.116249
35905,483998,8192,0.118817
35969,484395,8192,0.117857
36033,484733,8192,0.106531
36097,483508,8192,0.127198
36161,483596,8192,0.127904
36225,482825,8192,0.136965
36289,482833,8192,0.134974
36353,483316,8192,0.135603
36417,484629,8192,0.123742
36481,485157,8192,0.116840
36545,486173,8192,0.109587
36609,485513,8192,0.116241
36673,484981,8192,0.119172
36737,484640,8192,0.118850
36801,483970,8192,0.129451
36865,483909,8192,0.126023
36929,484455,8192,0.123359
36993,485037,8192,0.114292
37057,485119,8192,0.119819
37121,485019,8192,0.120868
37185,485622,8192,0.111983
37249,485398,8192,0.115601
37313,484798,8192,0.121365
37377,484055,8192,0.130145
37441,484123,8192,0.132494
37505,483721,8192,0.141144
37569,483536,8192,0.135755
37633,482620,8192,0.149346
37697,481107,8192,0.166172
37761,480089,8192,0.180567
37825,479606,8192,0.187410
37889,479964,8192,0.181408
37953,478620,8192,0.197181
38017,479484,8192,0.187528
38081,479398,8192,0.187407
38145,479326,8192,0.187445
38209,479543,8192,0.181194
38273,479517,8192,0.180328
38337,480477,8192,0.162252
38401,480569,8192,0.160263
38465,480490,8192,0.162583
38529,480987,8192,0.150344
38593,479947,8192,0.152288
38657,479533,8192,0.159572
38721,479648,8192,0.156748
38785,478962,8192,0.165294
38849,478913,8192,0.157652
38913,479422,8192,0.148818
38977,479929,8192,0.146007
39041,479813,8192,0.146770
39105,479119,8192,0.157893
39169,479927,8192,0.147871
39233,479668,8192,0.147397
39297,478974,8192,0.157093
39361,479895,8192,0.150200
39425,479631,8192,0.153199
39489,479807,8192,0.152923
39553,479408,8192,0.156486
39617,480952,8192,0.134089
39681,481784,8192,0.124754
39745,481804,8192,0.128582
39809,481405,8192,0.135317
